date,text,link
2017-11-28 15:59,Junior-Intermediate Architect,https://newyork.craigslist.org/wch/egr/d/junior-intermediate-architect/6404502023.html
2017-11-28 15:41,Draftsman,https://newyork.craigslist.org/que/egr/d/draftsman/6404474344.html
2017-11-28 12:45,Draftsperson / Cabinet Vision Programmer,https://newyork.craigslist.org/que/egr/d/draftsperson-cabinet-vision/6404179534.html
2017-11-28 12:00,Assistant Project Manager,https://newyork.craigslist.org/brk/egr/d/assistant-project-manager/6404101329.html
2017-11-28 11:05,Entry Level Architect small busy office.,https://newyork.craigslist.org/mnh/egr/d/entry-level-architect-small/6404010158.html
2017-11-28 10:47,Project Architect,https://newyork.craigslist.org/que/egr/d/project-architect/6403980968.html
2017-11-27 23:05,Facade Restoration - Engineer/Architect,https://newyork.craigslist.org/mnh/egr/d/facade-restoration-engineer/6403570258.html
2017-11-27 22:38,CONSTRUCTION SUPERVISOR/PROJECT MANAGER,https://newyork.craigslist.org/brk/egr/d/construction-supervisor/6403548899.html
2017-11-27 21:47,Professional wanted,https://newyork.craigslist.org/brk/egr/d/professional-wanted/6403504758.html
2017-11-27 20:33,Architectural Drafter,https://newyork.craigslist.org/que/egr/d/architectural-drafter/6403429847.html
2017-11-27 19:52,Structural Engineer,https://newyork.craigslist.org/que/egr/d/structural-engineer/6403384927.html
2017-11-27 19:51,Architectural Designer,https://newyork.craigslist.org/que/egr/d/architectural-designer/6403383598.html
2017-11-27 15:47,Professional Land Surveyor (PLS - CT),https://newyork.craigslist.org/fct/egr/d/professional-land-surveyor/6403052961.html
2017-11-27 14:38,Project Architect (High-end Retail & Hospitality),https://newyork.craigslist.org/mnh/egr/d/project-architect-high-end/6402940343.html
2017-11-27 13:38,Procurement Project Manager with Design/Architecture background needed,https://newyork.craigslist.org/mnh/egr/d/procurement-project-manager/6402837617.html
2017-11-27 12:45,Junior Draftsperson,https://newyork.craigslist.org/mnh/egr/d/junior-draftsperson/6402743163.html
